,plateifu,M*,sigma,min,mout,ext,hsig
252,12678-12704,11.432497039002348,2.3339577,11.138729266092414,10.748571288084628,1.0,1.0
253,12682-3701,11.566874311218065,2.488721,11.215408715387726,11.09185136993199,0.0,-1.0
254,12682-3703,11.412565559613677,2.4247627,11.204385646280649,10.675117597715465,1.0,-1.0
255,12682-6104,11.497099356608066,2.402995,11.239974429381471,10.8909976951869,1.0,0.0
256,12683-3701,11.558733458117757,2.4258997,11.234537960146,11.023001744133486,0.0,-1.0
257,12683-6104,11.621963486793929,2.4243498,11.231247126097827,11.187091030781735,0.0,0.0
258,12684-3701,11.30064486679743,2.3813183,11.082678466842964,10.56138278098728,1.0,-1.0
259,12684-3703,11.480791554927917,2.42275,11.23992114340964,10.740027426422495,1.0,-1.0
260,12684-6103,11.608199922360875,2.437787,11.298996131304278,11.078238929771878,1.0,-1.0
261,12684-9102,11.282622583257638,2.3934026,11.073310155329095,10.580725913373845,0.0,-1.0
262,12696-3702,11.395983669581383,2.4153624,11.201596443046256,10.661179124327163,1.0,-1.0
263,7443-6104,11.237726375718422,2.2097874,11.049563694685597,10.175340104631873,1.0,0.0
264,7443-9102,11.404417900899919,2.4590025,11.096237022026573,10.850764047411113,-1.0,-1.0
265,7959-3704,11.470863264866688,2.457929,11.228086767942813,10.783710496462804,1.0,-1.0
266,7959-6104,11.50920935320761,2.4001458,11.225077184608498,10.929008605927052,1.0,0.0
267,7959-9101,11.551385210497259,2.4057136,11.141883194504214,11.119289936656372,-1.0,0.0
268,7960-9102,11.575724681018695,2.506782,11.097224692516296,11.233015719609666,-1.0,-1.0
269,7961-3703,11.227464304265178,2.3447366,11.048938810547293,10.416807578768047,1.0,0.0
270,7961-9101,11.511373121367406,2.348883,11.050788558565543,11.166244452290345,-1.0,1.0
271,7962-3702,11.436302813236694,2.438768,11.106164268310048,10.941399993573674,-1.0,-1.0
272,7962-6103,11.538812700733882,2.3626845,11.262586346135386,10.950034228354587,1.0,1.0
273,7975-3702,11.535113010363471,2.4629183,11.256100058117381,10.971245055446479,1.0,-1.0
274,7975-3704,11.455807334216374,2.409249,11.11954061134959,10.937465008615828,-1.0,0.0
275,7979-6101,11.354474897921847,2.386956,11.109086187364728,10.693740356720026,0.0,0.0
276,7981-12702,11.61506293391196,2.455331,11.307621671260996,11.065405185647974,1.0,-1.0
277,7981-3702,11.610132290062706,2.3509521,11.302481058005414,11.073248272835238,1.0,1.0
278,7981-6104,11.46117962263436,2.347471,11.180165912969166,10.860436591915091,1.0,1.0
279,7993-6102,11.385123086084073,2.3688207,11.137153670850298,10.721686766968642,1.0,0.0
280,7993-9102,11.22438897189666,2.3234277,10.971889868205263,10.521997326722133,-1.0,1.0
281,8075-12704,11.534575564487412,2.4367974,11.156866384155972,11.109498305678422,-1.0,-1.0
282,8075-9101,11.528662693105336,2.404089,11.193276359068916,11.02350893301502,0.0,0.0
283,8080-6102,11.357883864636948,2.3979888,11.175561445008112,10.519726568387524,1.0,-1.0
284,8082-12705,11.256108548864127,2.4000676,11.065985704356233,10.352291688379596,1.0,-1.0
285,8085-3702,11.60325221831754,2.5120108,11.270439024232708,11.11814720691114,1.0,-1.0
286,8085-6101,11.303778974710923,2.428081,11.077675601046618,10.522606016829503,1.0,-1.0
287,8085-9101,11.244855209437954,2.354651,11.079846290473826,10.272575025324828,1.0,-1.0
